,GTR,PR1,PR2,PR3,x,y
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.005723630417007359,0.0
2,0.0,0.0,0.0,0.0,0.011447260834014717,0.0
3,1e-05,0.0,0.0,0.0,0.017170891251022075,9.999999999999999e-06
4,1e-05,1e-05,1e-05,1e-05,0.022894521668029435,3.9999999999999996e-05
5,1e-05,1e-05,1e-05,1e-05,0.028618152085036794,3.9999999999999996e-05
6,2e-05,1e-05,2e-05,1e-05,0.03434178250204415,6.000000000000002e-05
7,3e-05,2e-05,2e-05,2e-05,0.04006541291905151,9.000000000000002e-05
8,4e-05,2e-05,3e-05,3e-05,0.04578904333605887,0.00011999999999999999
9,5e-05,3e-05,4e-05,3e-05,0.05151267375306623,0.00015000000000000001
10,6e-05,3e-05,5e-05,4e-05,0.05723630417007359,0.00018
11,7e-05,4e-05,6e-05,5e-05,0.06295993458708095,0.00021999999999999995
12,9e-05,5e-05,7e-05,6e-05,0.0686835650040883,0.00026999999999999995
13,0.0001,6e-05,9e-05,7e-05,0.07440719542109567,0.00032
14,0.00012,7e-05,0.0001,8e-05,0.08013082583810302,0.00037000000000000005
15,0.00014,8e-05,0.00011,9e-05,0.08585445625511039,0.00041999999999999996
16,0.00015,9e-05,0.00013,0.00011,0.09157808667211774,0.00048
17,0.00017,0.0001,0.00015,0.00012,0.09730171708912509,0.0005400000000000001
18,0.0002,0.00011,0.00016,0.00013,0.10302534750613246,0.0005999999999999998
19,0.00022,0.00013,0.00018,0.00015,0.10874897792313981,0.00068
20,0.00024,0.00014,0.0002,0.00017,0.11447260834014718,0.00075
21,0.00027,0.00016,0.00022,0.00018,0.12019623875715453,0.0008300000000000002
22,0.00029,0.00017,0.00025,0.0002,0.1259198691741619,0.00091
23,0.00032,0.00019,0.00027,0.00022,0.13164349959116925,0.001
24,0.00035,0.0002,0.00029,0.00024,0.1373671300081766,0.00108
25,0.00038,0.00022,0.00032,0.00026,0.14309076042518395,0.0011799999999999998
26,0.00041,0.00024,0.00034,0.00028,0.14881439084219134,0.00127
27,0.00045,0.00026,0.00037,0.00031,0.1545380212591987,0.00139
28,0.00048,0.00028,0.0004,0.00033,0.16026165167620604,0.00149
29,0.00051,0.0003,0.00043,0.00035,0.1659852820932134,0.00159
30,0.00055,0.00032,0.00046,0.00038,0.17170891251022077,0.00171
31,0.00059,0.00034,0.00049,0.0004,0.17743254292722813,0.0018200000000000002
32,0.00063,0.00036,0.00052,0.00043,0.18315617334423548,0.00194
33,0.00067,0.00039,0.00055,0.00046,0.18887980376124283,0.0020700000000000007
34,0.00071,0.00041,0.00059,0.00049,0.19460343417825018,0.0022
35,0.00075,0.00044,0.00062,0.00052,0.20032706459525756,0.00233
