Elevel_(keV),Jπ_korrect
44.425,1
    86.787,1
  120.258 ,1
  203.542 ,0
  264.807  ,1
  280.302  ,1
  401.833  ,1
  447.170  ,1
  460.2    ,0
  499.580 ,1
  517.579 ,1
  553.5      ,1
  600.2     ,0
  609.970  ,1
  624.6     ,1
  628.744  ,1
  637.249  ,1
  669.115  ,1
  681.0     ,0
  686.128  ,1
  703.248  ,1
  707.94   ,0
  715.8      ,1
  727.82   ,0
  741.458  ,0
  742.9      ,0
  744.945 ,1
  751.8     ,1
  756.574  ,0
  774.408 ,1
  785.833  ,0
  793.570  ,1
  863.35  ,1
  909.125 ,1
  935.376  ,0
  939.750  ,1
  947.90   ,0
  958.393  ,0
  964.1      ,0
  970.98   ,0
  985.526,1
1013.8     ,0
1023.17   ,1
1026.2     ,1
1034.206 ,1
1064.485  ,1
1089.9      ,0
1097.30   ,0
1105.48   ,0
1124.98    ,0
1148.40    ,0
1185.75    ,0
1201.97   ,0
1230        ,0
1244.70  ,0
1260.10   ,0
1301.03   ,0
1309.38  ,0
1314.55   ,0
1322.21   ,0
1341.89    ,0
1352.37    ,0
1358.43    ,0
1369.3      ,0
1385.59  ,0
1397.34  ,0
1404.0     ,0
1422.32  ,0
1443.84   ,0
1450.87    ,0
1458.89    ,0
1473.65  ,0
1477.7      ,0
1494.35   ,0
1498.9    ,0
1512.18    ,0
1520.2      ,0
1524.8      ,0
1541.74    ,0
1550.45     ,0
1571.34    ,0
1584.0      ,0
1597.6      ,0
1605.17   ,0
1630.52    ,0
1638.03   ,0
1644.37    ,0
1652.67    ,0
1664.75    ,0
1673.34    ,0
1682.81   ,0
1694.6      ,0
1699.03   ,0
1704.32  ,0
1713.58   ,0
1715.6      ,0
1727.19   ,0
1748.36   ,0
1759.58   ,0
1782.53  ,0
1788.10  ,0
1794.62   ,0
1801.55  ,0
1821       ,0
1830     ,0
1849      ,0
1928       ,0
1960       ,0
1988       ,0
2004        ,0
2032       ,0
2067       ,0
2114       ,0
2136       ,0
2147        ,0
2206      ,0
2239       ,0
2272        ,0
2306       ,0
2338       ,0
2366       ,0
2392       ,0
2419       ,0
2446      ,0
2485     ,0
2505      ,0
