,Ex,Jpi,diff cross-sec,B(GT)
1,86.0,1,1.173,1.2
2,120.0,1,0.318,0.33
3,265.0,1,0.113,0.1
5,500.0," [1+, 2−]",0.621,0.45
31,513.8,1,0.725,0.71
6,628.0," [2−, 3+]",0.039,0.01
7,744.0," [1+, 3+]",0.059,0.02
8,774.0," [1+, 3+]",0.067,0.02
9,864.0,1,0.284,0.25
10,936.0,1,0.209,0.18
11,1022.0," [1+, 3+]",0.275,0.18
12,1063.0,1,1.23,1.36
13,1098.0,1,0.157,0.15
14,1157.0,1,0.495,0.56
15,1235.0,1,0.298,0.28
16,1353.0,1,0.615,0.62
17,1475.0,1,0.26,0.21
18,1540.0,"[1+, 3+]",0.069,0.03
19,1573.0," [1+, 2−]",0.071,0.09
20,1637.0,"[1+, 2−]",0.099,0.03
22,1693.0,1,0.451,0.49
23,1718.0,1,0.125,0.13
24,1792.0,1,0.159,0.13
25,1852.0,1,0.326,0.33
26,1902.0,1,0.379,0.45
27,1929.0,"[1+, 2−]",0.044,0.04
28,1987.0,1,0.094,0.1
29,2041.0,1,0.053,0.06
30,2154.0,1,0.125,0.12
32,2338.0,1,0.184,0.19
33,2449.0,1,0.111,0.09
34,2537.0,1,0.377,0.41
35,2604.0,1,0.347,0.33
36,2657.0,1,0.096,0.08
37,2688.0,1,0.122,0.13
38,2716.0,1,0.126,0.09
39,2763.0,1,0.099,0.08
40,2791.0,1,0.133,0.14
41,2819.0,1,0.069,0.04
42,2882.0,1,0.193,0.2
43,2918.0,1,0.107,0.11
44,2940.0,1,0.354,0.37
45,3024.0,1,0.238,0.26
46,3134.0,"[1+, 2−]",0.12,0.12
47,3190.0,"[1+, 2−]",0.254,0.27
48,3257.0,1,0.097,0.09
49,3364.0,"[1+, 2−]",0.07,0.06
51,3482.0,1,0.107,0.11
52,3504.0,1,0.062,0.07
53,3540.0,1,0.23,0.25
54,3589.0,1,0.421,0.48
55,3634.0,1,0.106,0.11
56,3695.0,1,0.227,0.24
57,3798.0,1,0.181,0.21
58,3848.0,1,0.441,0.53
59,3932.0,1,0.186,0.22
60,4034.0,1,0.119,0.13
61,4071.0,1,0.239,0.27
62,4109.0,1,0.052,0.04
63,4179.0,1,0.103,0.12
64,4218.0,1,0.116,0.14
65,4268.0,1,0.294,0.34
66,4306.0,1,0.187,0.21
67,4466.0,1,0.094,0.1
68,4499.0,1,0.167,0.19
69,4536.0,1,0.055,0.06
70,4668.0,1,0.046,0.04
71,4699.0,1,0.153,0.19
72,4738.0,1,0.137,0.16
73,4801.0,1,0.261,0.3
74,4841.0,1,0.234,0.28
75,4941.0,1,0.101,0.12
76,4978.0,1,0.151,0.16
