,Ex,Jpi,diff cross-sec,GT,B(GT),,B(GT)_full,,B(GT)_true,diff cross-sec true
,0,2−,,,,,,,,
,86,1,1.173(19) ,, 1.20(13),, 1.2013,, 1.20,1.173
,120,1,0.318(7),, 0.33(3),, 0.333,, 0.33,0.318
,265,1,0.113(3),,0.10(2),,0.102,,0.10,0.113
,363,2−,,,,,,,,
,500," [1+, 2−]",0.621(10),,0.45(16),,0.4516,,0.45,0.621
,513.8,1,0.725(17),,0.71(10),,0.710,,0.71,0.725
,628," [2−, 3+]", 0.039(1),,0.01(2),,0.012,,0.01, 0.039
,744," [1+, 3+]",0.059(1),,0.02(3),,0.023,,0.02,0.059
,774," [1+, 3+]", 0.067(2),,0.02(3),,0.023,,0.02, 0.067
,864,1,0.284(7),,0.25(5),,0.255,,0.25,0.284
,936,1,0.209(5),, 0.18(4),, 0.184,, 0.18,0.209
,1022," [1+, 3+]",0.275(4),,0.18(8),,0.188,,0.18,0.275
,1063,1,1.230(20),,1.36(9),,1.369,,1.36,1.230
,1098,1,0.157(4),,0.15(2),,0.152,,0.15,0.157
,1157,1,0.495(10),,0.56(3),,0.563,,0.56,0.495
,1235,1,0.298(6),, 0.28(5),, 0.285,, 0.28,0.298
,1353,1,0.615(11) ,,0.62(7),,0.627,,0.62,0.615
,1475,1,0.260(5),,0.21(6),,0.216,,0.21,0.260
,1540,"[1+, 3+]",0.069(2),, 0.03(3),, 0.033,, 0.03,0.069
,1573," [1+, 2−]", 0.071(2),, 0.09(1),, 0.091,, 0.09, 0.071
,1637,"[1+, 2−]",0.099(2) ,,0.03(4),,0.034,,0.03,0.099
,1693,1,0.451(9),,0.49(3),,0.493,,0.49,0.451
,1718,1,0.125(3),, 0.13(4),, 0.134,, 0.13,0.125
,1792,1,0.159(3),,0.13(4),,0.134,,0.13,0.159
,1852,1,0.326(6),,0.33(4),,0.334,,0.33,0.326
,1902,1,0.379(9),,0.45(1),,0.451,,0.45,0.379
,1929,"[1+, 2−]",0.044(1) ,, 0.04(1),, 0.041,, 0.04,0.044
,1987,1,0.094(2),, 0.10(1),, 0.101,, 0.10,0.094
,2041,1,0.053(2),, 0.06(1),, 0.061,, 0.06,0.053
,2154,1,0.125(3),,0.12(2),,0.122,,0.12,0.125
,2338,1,0.184(4),,0.19(2),,0.192,,0.19,0.184
,2449,1,0.111(3),,0.09(2),,0.092,,0.09,0.111
,2537,1,0.377(7),,0.41(3),,0.413,,0.41,0.377
,2604,1,0.347(7),,0.33(5),,0.335,,0.33,0.347
,2657,1,0.096(2),,0.08(2),,0.082,,0.08,0.096
,2688,1,0.122(3),, 0.13(1),, 0.131,, 0.13,0.122
,2716,1,0.126(3),,0.09(3),,0.093,,0.09,0.126
,2763,1,0.099(2),,0.08(2),,0.082,,0.08,0.099
,2791,1,0.133(3),, 0.14(1),, 0.141,, 0.14,0.133
,2819,1,0.069(2),, 0.04(2),, 0.042,, 0.04,0.069
,2882,1,0.193(4),,0.20(2),,0.202,,0.20,0.193
,2918,1,0.107(3),,0.11(1),,0.111,,0.11,0.107
,2940,1,0.354(7),,0.37(3),,0.373,,0.37,0.354
,3024,1,0.238(5),, 0.26(2),, 0.262,, 0.26,0.238
,3134,"[1+, 2−]",0.120(3),,0.12(1),,0.121,,0.12,0.120
,3190,"[1+, 2−]",0.254(5),,0.27(2),,0.272,,0.27,0.254
,3257,1,0.097(2),,0.09(2),,0.092,,0.09,0.097
,3364,"[1+, 2−]",0.070(2),,0.06(2),,0.062,,0.06,0.070
,3426,2−,,,,,,,,
,3482,1,0.107(3),, 0.11(1),, 0.111,, 0.11,0.107
,3504,1,0.062(3),,0.07(1),,0.071,,0.07,0.062
,3540,1,0.230(5),,0.25(2),,0.252,,0.25,0.230
,3589,1,0.421(9),,0.48(2),,0.482,,0.48,0.421
,3634,1,0.106(3),,0.11(1),,0.111,,0.11,0.106
,3695,1,0.227(5),,0.24(2),,0.242,,0.24,0.227
,3798,1,0.181(5),,0.21(1),,0.211,,0.21,0.181
,3848,1,0.441(10),,0.53(1),,0.531,,0.53,0.441
,3932,1,0.186(5),,0.22(1),,0.221,,0.22,0.186
,4034,1,0.119(3),,0.13(1),,0.131,,0.13,0.119
,4071,1,0.239(6),,0.27(1),,0.271,,0.27,0.239
,4109,1,0.052(1),, 0.04(1),, 0.041,, 0.04,0.052
,4179,1,0.103(3),,0.12(1),,0.121,,0.12,0.103
,4218,1,0.116(4),,0.14(1),,0.141,,0.14,0.116
,4268,1,0.294(7),,0.34(1),,0.341,,0.34,0.294
,4306,1,0.187(4),,0.21(1),,0.211,,0.21,0.187
,4466,1,0.094(3),,0.10(1),,0.101,,0.10,0.094
,4499,1,0.167(4),, 0.19(1),, 0.191,, 0.19,0.167
,4536,1,0.055(2),, 0.06(1),, 0.061,, 0.06,0.055
,4668,1,0.046(1),,0.04(1),,0.041,,0.04,0.046
,4699,1,0.153(6),, 0.19(1),, 0.191,, 0.19,0.153
,4738,1,0.137(4),,0.16(1),,0.161,,0.16,0.137
,4801,1,0.261(6),,0.30(1),,0.301,,0.30,0.261
,4841,1,0.234(6),,0.28(1),,0.281,,0.28,0.234
,4941,1,0.101(3),, 0.12(1),, 0.121,, 0.12,0.101
,4978,1,0.151(4),,0.16(1),,0.161,,0.16,0.151
