x	y
7,9998479702	1,8724928468
8,0009532056	1,8725553336
8,0020553167	1,9693474021
8,0031605522	1,9694098889
8,0042657876	1,9694723757
8,0053710231	1,9695348625
8,0064762585	1,9695973493
8,007581494	1,9696598361
8,0086867294	1,9697223229
8,0097919649	1,9697848097
8,0108972003	1,9698472966
8,0120039979	1,9215449925
8,0131092334	1,9216074794
8,0142144688	1,9216699662
8,0153197043	1,921732453
8,0164249397	1,9217949398
8,0175348617	1,7767630541
8,0186400972	1,776825541
8,0197453326	1,7768880278
8,020850568	1,7769505146
8,0219558035	1,7770130014
8,0230610389	1,7770754882
8,0241662744	1,777137975
8,0252715098	1,7772004618
8,0263767453	1,7772629486
8,0274835429	1,7289606446
8,0285887784	1,7290231314
8,0296940138	1,7290856182
8,0307992493	1,729148105
8,0319029225	1,7775753827
8,033008158	1,7776378695
8,0341133934	1,7777003563
8,0352186289	1,7777628431
8,0363238643	1,7778253299
8,037430662	1,7295230259
8,0385358974	1,7295855127
8,0396411329	1,7296479995
8,0407463683	1,7297104863
8,0418516038	1,7297729731
8,0429584014	1,6814706691
8,0440636368	1,6815331559
8,0451688723	1,6815956428
8,0462741077	1,6816581296
8,047377781	1,7300854072
8,0484830164	1,730147894
8,0495882519	1,7302103808
8,0506934873	1,7302728676
8,0517971606	1,7787001452
8,0529023961	1,7787626321
8,0540076315	1,7788251189
8,055112867	1,7788876057
8,0562181024	1,7789500925
8,0573217757	1,8273773701
8,0584270111	1,8274398569
8,0595322466	1,8275023437
8,060637482	1,8275648305
8,0617427175	1,8276273174
8,0628448286	1,9244193858
8,0639500641	1,9244818726
8,0650552995	1,9245443594
8,066160535	1,9246068462
8,0672610839	2,0697637055
8,0683663193	2,0698261923
8,0694715548	2,0698886791
8,0705767902	2,0699511659
8,0716820257	2,0700136527
8,0727903855	1,9733465579
8,0738956209	1,9734090447
8,0750008564	1,9734715315
8,0761060918	1,9735340183
8,0772113273	1,9735965051
8,0783165627	1,973658992
8,0794217982	1,9737214788
8,0805270336	1,9737839656
8,0816322691	1,9738464524
8,0827390667	1,9255441484
8,0838443021	1,9256066352
8,0849495376	1,925669122
8,086054773	1,9257316088
8,0871568841	2,0225236773
8,0882621196	2,0225861641
8,089367355	2,0226486509
8,0904725905	2,0227111377
8,0915778259	2,0227736245
8,0926814992	2,0712009021
8,0937867347	2,0712633889
8,0948919701	2,0713258757
8,0959972056	2,0713883625
8,097102441	2,0714508494
8,0982045521	2,1682429178
8,0993097876	2,1683054046
8,100415023	2,1683678914
8,1015202585	2,1684303782
8,1026254939	2,168492865
8,1037338537	2,0718257702
8,1048390892	2,071888257
8,1059443246	2,0719507438
8,1070495601	2,0720132306
8,108150109	2,2171700899
8,1092553444	2,2172325767
8,1103605799	2,2172950635
8,1114658153	2,2173575503
8,1125710508	2,2174200372
8,1136778484	2,1691177331
8,1147830839	2,16918022
8,1158883193	2,1692427068
8,1169935548	2,1693051936
8,1181019145	2,0726380987
8,11920715	2,0727005856
8,1203123854	2,0727630724
8,1214176209	2,0728255592
8,1225228563	2,072888046
8,1236280918	2,0729505328
8,1247333272	2,0730130196
8,1258385627	2,0730755064
8,1269437981	2,0731379932
8,1280490336	2,07320048
8,129154269	2,0732629668
8,1302595045	2,0733254537
8,1313647399	2,0733879405
8,1324699754	2,0734504273
8,1335736487	2,1218777049
8,1346788841	2,1219401917
8,1357841196	2,1220026785
8,136889355	2,1220651653
8,1379945905	2,1221276521
8,1391045124	1,9770957665
8,1402097479	1,9771582533
8,1413149833	1,9772207401
8,1424202188	1,9772832269
8,1435270164	1,9289809229
8,1446322518	1,9290434097
8,1457374873	1,9291058965
8,1468427227	1,9291683833
8,1479448338	2,0259604518
8,1490500693	2,0260229386
8,1501553047	2,0260854254
8,1512605402	2,0261479122
8,1523657756	2,026210399
8,1534694489	2,0746376767
8,1545746844	2,0747001635
8,1556799198	2,0747626503
8,1567851553	2,0748251371
8,1578903907	2,0748876239
8,1589971883	2,0265853199
8,1601024238	2,0266478067
8,1612076592	2,0267102935
8,1623128947	2,0267727803
8,1634134436	2,1719296396
8,1645186791	2,1719921264
8,1656239145	2,1720546132
8,16672915	2,1721171
8,1678343854	2,1721795868
8,1689427452	2,075512492
8,1700479807	2,0755749788
8,1711532161	2,0756374656
8,1722584516	2,0756999524
8,1733590005	2,2208568117
8,1744642359	2,2209192985
8,1755694714	2,2209817853
8,1766747068	2,2210442721
8,1777799423	2,2211067589
8,1788883021	2,1244396641
8,1799935375	2,1245021509
8,181098773	2,1245646377
8,1822040084	2,1246271245
8,1833061195	2,221419193
8,184411355	2,2214816798
8,1855165904	2,2215441666
8,1866218259	2,2216066534
8,1877270613	2,2216691402
8,1888322968	2,221731627
8,1899375322	2,2217941138
8,1910427677	2,2218566006
8,1921480031	2,2219190875
8,1932532386	2,2219815743
8,194358474	2,2220440611
8,1954637095	2,2221065479
8,1965689449	2,2221690347
8,1976741804	2,2222315215
8,198780978	2,1739292175
8,1998862134	2,1739917043
8,2009914489	2,1740541911
8,2020966843	2,1741166779
8,2032019198	2,1741791647
8,2043009066	2,3677008148
8,205406142	2,3677633016
8,2065113775	2,3678257884
8,2076166129	2,3678882752
8,2087202862	2,4163155529
8,2098255216	2,4163780397
8,2109307571	2,4164405265
8,2120359925	2,4165030133
8,213141228	2,4165655001
8,2142480256	2,3682631961
8,215353261	2,3683256829
8,2164584965	2,3683881697
8,2175637319	2,3684506565
8,2186689674	2,3685131433
8,219775765	2,3202108393
8,2208810005	2,3202733262
8,2219862359	2,320335813
8,2230914714	2,3203982998
8,224188896	2,5622847407
8,2252941314	2,5623472275
8,2263993669	2,5624097143
8,2275046023	2,5624722011
8,2286098378	2,5625346879
8,229713511	2,6109619655
8,2308187465	2,6110244523
8,2319239819	2,6110869392
8,2330292174	2,611149426
8,2341313285	2,7079414944
8,2352365639	2,7080039812
8,2363417994	2,708066468
8,2374470348	2,7081289548
8,2385522703	2,7081914416
8,2396496949	2,9500778825
8,2407549303	2,9501403694
8,2418601658	2,9502028562
8,2429654012	2,950265343
8,244064388	3,1437869931
8,2451696234	3,1438494799
8,2462748589	3,1439119667
8,2473800943	3,1439744535
8,2484853298	3,1440369403
8,2495921274	3,0957346363
8,2506973629	3,0957971231
8,2518025983	3,0958596099
8,2529078338	3,0959220967
8,2540036962	3,3861733284
8,2551089316	3,3862358152
8,2562141671	3,3862983021
8,2573194025	3,3863607889
8,258424638	3,3864232757
8,2595111274	3,9668632523
8,2606163628	3,9669257391
8,2617215983	3,9669882259
8,2628268337	3,9670507127
8,2639320692	3,9671131995
8,2650154343	4,6442827578
8,2661206697	4,6443452446
8,2672259052	4,6444077314
8,2683311406	4,6444702182
8,2694066948	5,5634637306
8,2705119303	5,5635262174
8,2716171657	5,5635887042
8,2727224012	5,563651191
8,2738276366	5,5637136778
8,2748719474	7,4500030065
8,2759771829	7,4500654933
8,2770824183	7,4501279801
8,2781876538	7,4501904669
8,2791960347	10,4488699844
8,2803012701	10,4489324713
8,2814065056	10,4489949581
8,282511741	10,4490574449
8,2836169765	10,4491199317
8,2845769301	14,9471079645
8,2856821655	14,9471704514
8,286787401	14,9472329382
8,2878926364	14,947295425
8,2888104114	20,7511328099
8,2899156469	20,7511952967
8,2910208823	20,7512577835
8,2921261178	20,7513202703
8,2932313532	20,7513827572
8,2941303822	27,1355976319
8,2952356177	27,1356601187
8,2963408531	27,1357226055
8,2974460886	27,1357850923
8,298551324	27,1358475791
8,2994628503	33,1331441273
8,3005680858	33,1332066142
8,3016733212	33,133269101
8,3027785567	33,1333315878
8,3037838132	36,2287406869
8,3048890487	36,2288031737
8,3059942841	36,2288656605
8,3070995196	36,2289281474
8,308204755	36,2289906342
8,3093006175	36,5192418659
8,3104058529	36,5193043527
8,3115110884	36,5193668395
8,3126163238	36,5194293263
8,3137215593	36,5194918131
8,3149361466	33,1340189427
8,3160413821	33,1340814295
8,3171466175	33,1341439163
8,318251853	33,1342064031
8,3195164298	28,2010602265
8,3206216652	28,2011227133
8,3217269007	28,2011852001
8,3228321361	28,2012476869
8,3239373716	28,2013101738
8,3252285053	22,4459625533
8,3263337408	22,4460250401
8,3274389762	22,4460875269
8,3285442116	22,4461500137
