x	y
8,0018440867	1,856602241
8,0043028689	1,8568291183
8,0067616511	1,9666377085
8,0098351289	1,9596158575
8,0129086067	1,9489412828
8,0159820845	1,9053921942
8,0187482145	1,8946892598
8,0215143445	1,7488355461
8,0243573114	1,7490978729
8,0273539522	1,7493743796
8,030504267	1,7382503043
8,0335009078	1,7316779539
8,0365743856	1,7483988074
8,0396478634	1,7450296802
8,0427213411	1,7325287436
8,0457948189	1,6688896743
8,0488682967	1,650909652
8,0519417745	1,7333795333
8,0550152523	1,7427949393
8,05808873	1,7522103452
8,0611622078	1,8018057126
8,0637746639	1,8075258554
8,0670018156	1,8991417259
8,0694605978	1,8993686031
8,07191938	2,0274408122
8,0749928578	2,0058080661
8,0780663356	1,9732171488
8,0811398134	1,9588898503
8,0842132912	1,9482152756
8,0872867689	1,919277082
8,0903602467	1,9743515351
8,0934337245	2,0111623693
8,0965072023	2,0297095847
8,0989659845	2,0299364619
8,1020394623	2,1763290091
8,1044982445	2,1765558864
8,1069570267	2,030673813
8,109415809	2,0309006903
8,1118745912	2,195500137
8,114948069	2,188478286
8,1180215467	2,1778037113
8,1198656334	2,1779738692
8,1220170679	2,0320634362
8,1250905456	2,0506106516
8,1281640234	2,069157867
8,1316302234	2,0370090452
8,134310979	2,0331978225
8,1373844568	2,1247995131
8,1396895651	2,1250122106
8,1419946734	1,9791159574
8,1450681512	1,9574832114
8,148141629	1,924892294
8,1513004811	1,9962089526
8,1539812368	2,0167492216
8,1570547145	2,035296437
8,1601281923	2,0264482242
8,1632016701	2,0176000113
8,1648920829	2,0177559895
8,167504539	2,182369616
8,1698096473	2,1825823134
8,1721147557	2,0732132979
8,1745735379	2,0734401751
8,1770323201	2,2015123841
8,1798752871	2,1835110921
8,1828719279	2,1289967423
8,1859966303	2,177988049
8,1888652096	2,2026042309
8,1920923612	2,2211656261
8,195165839	2,2123174133
8,1982393168	2,2034692004
8,2017055167	2,1550860508
8,2043862724	2,1492455371
8,2074597501	2,3686925596
8,2103411356	2,3758072884
8,2132993579	2,3874950119
8,2164582101	2,3735814493
8,2191389657	2,3697702265
8,2222124435	2,278735729
8,2245175518	2,2789484264
8,2268226602	2,5348517874
8,2292814424	2,5350786646
8,2326622679	2,5901814773
8,2355436534	2,6178427773
8,2385018757	2,6637747861
8,2403459624	2,663944944
8,242190049	2,9380693844
8,2446488313	2,9382962616
8,2474149613	3,1394513056
8,2502963467	3,1191706062
8,2532545691	3,0851992826
8,2550986557	3,0853694405
8,2569427424	3,3777574997
8,2594015246	3,3779843769
8,2621676546	3,9261481786
8,264472763	3,926360876
8,2676999146	4,602412549
8,270005023	4,6026252464
8,2726174791	5,5343108636
8,2749225874	5,534523561
8,2772276957	7,3976253786
8,279686478	7,3978522559
8,282452608	10,3933409801
8,2847577163	10,3935536776
8,2873701724	14,850117728
8,2896752807	14,8503304255
8,2919803891	20,6766375282
8,2944391713	20,6768644055
8,2972053013	27,0145953748
8,2995104096	27,0148080722
8,3027375613	32,9873092045
8,3050426696	32,9875219019
8,3076551258	36,0743145405
8,3099602341	36,0745272379
8,3125726902	36,3487225774
8,3148777985	36,3489352748
8,3174902547	32,988670468
8,319795363	32,9888831655
8,3224078191	28,0396835208
8,3247129274	28,0398962183
8,3273253836	22,3418882018
8,3296304919	22,3421008992
8,3328576436	17,9043393011
8,3351627519	17,9045519985
8,337775208	13,6858971069
8,3400803163	13,6861098043
8,3426927725	11,5495074588
8,3449978808	11,5497201562
8,3476103369	10,1253989449
8,3499154452	10,1256116424
8,3525279013	9,9066892735
8,3548330097	9,906901971
8,3574454658	9,3957617009
8,3597505741	9,3959743984
8,3623630302	8,9944158413
8,3646681386	8,9946285387
8,3678952902	8,6296539386
8,3702003986	8,629866636
8,3725055069	8,3561250511
8,3749642891	8,3563519283
8,3777304191	6,9320448968
8,3800355275	6,9322575943
8,3826479836	5,9462632348
8,3849530919	5,9464759322
8,387565548	4,9056907162
8,3898706564	4,9059034137
8,3924831125	4,3947631436
8,3947882208	4,394975841
8,3974006769	3,7925174769
8,3997057853	3,7927301743
8,4029329369	3,5738645248
8,4052380453	3,5740772222
8,4078505014	3,1542550463
8,4101556097	3,1544677437
8,4127680658	3,0451270879
8,4150731742	3,0453397853
8,4176856303	2,9359991294
8,4199907386	2,9362118268
8,4226031947	2,7355530768
8,4249083031	2,7357657743
8,4275207592	2,5533706431
8,4298258675	2,5535833405
8,4330530192	2,7913081616
8,4353581275	2,7915208591
8,4379705836	2,5178076338
8,440851969	2,5180735056
8,4438101914	2,5183464672
8,4456542781	2,5185166252
8,4478057125	2,6282968557
8,4506870979	2,6628070128
8,4536453203	2,7201537833
8,4568041725	2,677830147
8,4594849281	2,6659017603
8,4625584059	2,6113945004
8,4648635142	2,6116071978
8,4680906659	2,3379506919
8,4703957742	2,3381633893
8,4730082303	2,4479861593
8,4758896157	2,4482520311
8,4788478381	2,4485249928
8,4806919248	2,4486951507
8,4828433592	2,2297302424
8,4857247446	2,2231472571
8,488682967	2,2120054571
8,4905270537	2,212175615
8,4926784881	2,3584830832
8,4955598735	2,3382023838
8,498364422	2,3042168804
