x,Curve1
-0.0905172,0.011916
-0.0517241,0.0448394
-0.0431034,0.0940214
-0.0344828,0.175968
-0.0258621,0.290679
-0.0215517,0.630628
-0.012931,0.946022
0,1.46212
0.0172414,1.39666
0.0215517,1.06084
0.0258621,0.602154
0.0344828,0.348264
0.0474138,0.213163
0.0560345,0.458933
0.0603448,0.839838
0.0689655,1.20438
0.0732759,3.1375
0.0775862,3.95254
0.0905172,4.90686
0.103448,3.72329
0.107759,3.28918
0.116379,2.44962
0.125,1.81894
0.12931,1.28654
0.133621,0.9671
0.137931,0.680428
0.142241,0.52891
0.155172,0.344663
0.159483,0.152189
0.172414,0.0908085
0.193966,0.0540367
0.219828,0.0418559
0.237069,0.10336
0.25,0.250853
0.25431,0.35326
0.262931,0.513022
0.271552,0.574491
0.275862,0.443451
0.280172,0.336984
0.284483,0.222326
0.293103,0.156832
0.297414,0.0913205
0.327586,0.0750618
0.344828,0.0833235
0.349138,0.161157
0.353448,0.23899
0.366379,0.300477
0.375,0.28413
0.37931,0.230905
0.383621,0.181776
0.392241,0.124473
0.405172,0.0835707
0.418103,0.0795281
0.439655,0.108285
0.443966,0.206596
0.452586,0.349976
0.456897,0.702213
0.461207,0.923391
0.469828,1.06677
0.482759,1.21017
0.491379,1.3044
0.5,1.52969
0.508621,1.41915
0.512931,1.2922
0.517241,1.05877
0.525862,0.784406
0.530172,0.411728
0.538793,0.342138
0.560345,0.317653
0.564655,0.202995
0.568966,0.141579
0.577586,0.100659
0.594828,0.0556785
0.612069,0.125374
0.616379,0.178634
0.62931,0.190973
0.642241,0.162357
0.650862,0.117341
0.663793,0.0846299
0.681034,0.0724138
0.715517,0.072555
0.728448,0.129946
0.737069,0.203701
0.741379,0.240579
0.75431,0.191485
0.767241,0.252972
0.793103,0.248982
0.801724,0.117959
0.818966,0.0688831
0.831897,0.171325
0.840517,0.306514
0.844828,0.494928
0.853448,0.970048
0.857759,1.10522
0.87069,1.13804
0.875,1.12577
0.87931,1.05616
0.883621,0.871878
0.887931,0.527869
0.892241,0.400924
0.905172,0.265823
0.913793,0.376439
0.922414,0.515723
0.926724,0.732806
0.935345,0.736937
0.948276,0.806614
0.952586,0.765676
0.956897,0.651018
0.961207,0.511787
0.965517,0.429893
0.969828,0.278375
0.974138,0.221054
0.978448,0.180117
