energy;sum_spectrum
0.0;0.0
0.01;826342753.458
0.02;3215697083.48
0.03;7043717680.42
0.04;12174354819.4
0.05;18477378523.6
0.06;25857094080.0
0.07;34178426150.9
0.08;43323811803.0
0.09;53191704697.8
0.1;63657511269.8
0.11;74621783762.3
0.12;85971274070.1
0.13;97599637623.3
0.14;1.094139646e+11
0.15;1.21313062816e+11
0.16;1.33195601508e+11
0.17;1.4496520013e+11
0.18;1.56529977078e+11
0.19;1.67790104348e+11
0.2;1.78663630739e+11
0.21;1.8904514947e+11
0.22;1.98860200245e+11
0.23;2.08010209366e+11
0.24;2.16414938809e+11
0.25;2.23975124787e+11
0.26;2.30602801454e+11
0.27;2.36201244516e+11
0.28;2.40675687638e+11
0.29;2.43925294461e+11
0.3;2.45833572667e+11
0.31;2.46288693799e+11
0.32;2.45152041767e+11
0.33;2.4226701225e+11
0.34;2.37456837594e+11
0.35;2.30488883195e+11
0.36;2.21069763519e+11
0.37;2.0879949383e+11
0.38;1.93111073277e+11
0.39;1.73075274266e+11
0.4;1.47011006689e+11
0.41;1.11084558611e+11
0.42;44428916857.5
0.43;239309966.564
0.44;246676493.959
0.45;253895838.091
0.46;260948240.064
0.47;268319065.295
0.48;274755445.723
0.49;282248046.445
0.5;288353938.157
0.51;295046449.68
0.52;301761959.896
0.53;307846243.509
0.54;313403586.595
0.55;320640122.338
0.56;325997396.27
0.57;331287158.214
0.58;336700048.517
0.59;341941389.281
0.6;347303146.699
0.61;352694939.473
0.62;358028091.752
0.63;363290567.759
0.64;366740111.267
0.65;371620755.09
0.66;374781816.907
0.67;379803225.605
0.68;382912882.986
0.69;385975474.171
0.7;389277316.69
0.71;391903665.634
0.72;394536522.578
0.73;396159389.103
0.74;399646924.979
0.75;401124766.1
0.76;402505189.239
0.77;403982773.864
0.78;405374439.822
0.79;406741222.696
0.8;406064880.57
0.81;406805734.671
0.82;406424796.459
0.83;406604773.805
0.84;406374747.161
0.85;405761797.764
0.86;403763224.012
0.87;403460432.967
0.88;400930637.94
0.89;398474732.309
0.9;397949238.012
0.91;395465461.115
0.92;391855598.233
0.93;388198134.383
0.94;385494919.205
0.95;381726382.031
0.96;377789261.524
0.97;373359710.463
0.98;369120701.736
0.99;364700807.886
1.0;357820579.474
1.01;351951607.108
1.02;348086380.494
1.03;340207176.194
1.04;332127271.853
1.05;327913624.782
1.06;319083877.753
1.07;309708241.768
1.08;304544051.824
1.09;294362371.798
1.1;283230137.73
1.11;277316112.228
1.12;265177132.767
1.13;252090872.24
1.14;244680411.712
1.15;229442661.328
1.16;212596057.563
1.17;203175363.547
1.18;181621115.531
1.19;153716716.531
1.2;137337283.531
1.21;136451899.137
1.22;135428522.744
1.23;134395399.678
1.24;133362276.611
1.25;132181408.786
1.26;131000540.962
1.27;129671928.153
1.28;128780069.344
1.29;127448210.875
1.3;125984868.406
1.31;124508519.019
1.32;122887668.931
1.33;121263576.789
1.34;119639484.648
1.35;117867646.846
1.36;116095809.044
1.37;114901978.68
1.38;112995410.316
1.39;111075832.714
1.4;109011755.112
1.41;106944431.625
1.42;104877108.179
1.43;102662043.355
1.44;100446978.531
1.45;98087421.1458
1.46;96607879.7603
1.47;94245075.1367
1.48;91737771.256
1.49;89227218.0421
1.5;86716664.8282
1.51;84058365.9953
1.52;81255567.1624
1.53;78597278.698
1.54;75810760.2335
1.55;73871724.0389
