E	S		S		S		S		S					
MeV	1/MeV		1/MeV		1/MeV		1/MeV		1/MeV					
		GT BW	S-GT BW	GT G	S-GT G	PR1 BW	S-PR1  BW	PR1 G	S-PR1  G	QG	QBW	QT	QE	QG
-0.1	0.01	1.33742575312787E-4	0.00986625742468721	2.65797727904908E-6	0.00999734202272095	6.93607144926156E-5	0.0097968967101946	7.74387858243055E-8	0.00999726458393513					
0	0.02	0	0.02	3.19951131205999E-6	0.0199968004886879	0	0.02	1.13844790935465E-7	0.019996686643897	0	0	0	0	0
0.1	0.045	1.37177185997001E-4	0.044862822814003	3.84661386010119E-6	0.0449961533861399	7.27377839114163E-5	0.0447900850300916	1.66598165754064E-7	0.0449959867879741	0.00201819046925365	1.95745408525337E-5	2.7697798443096E-5	0.00325	0.00201819046925365
0.2	0.03	5.55117650857318E-4	0.0294448823491427	4.61887373906969E-6	0.0299953811262609	2.93910991892034E-4	0.0291509713572506	2.42677599200682E-7	0.0299951384486617	0.00432525207070039	1.25862913616896E-4	0.0225861089085704	0.007	0.00432525207070039
0.3	0.02	0.00126270827115101	0.018737291728849	5.53931605685608E-6	0.0199944606839431	6.62080102145395E-4	0.0180752116267036	3.51877572192901E-7	0.0199941088063709	0.00695339873586856	3.47593340804734E-4	0.0452356077821866	0.0095	0.00695339873586856
0.4	0.01	0.00226782395133683	0.00773217604866317	6.63496683762163E-6	0.00999336503316238	0.00116819651088475	0.00656397953777841	5.07873913899163E-7	0.00999285715924848	0.00993694976332509	7.12186427125666E-4	0.0455381289390728	0.011	0.00993694976332509
0.5	0.03	0.00357727972207716	0.0264227202779228	7.93750339459277E-6	0.0299920624966054	0.00179645877877571	0.0246262614991471	7.29663545290075E-7	0.0299913328330601	0.0129560063105479	0.001194922608977	0.0459380550938734	0.01271	0.0129560063105479
0.6	0.025	0.00519679076642402	0.019803209233576	9.48400223939658E-6	0.0249905159977606	0.00252574960514672	0.0172774596284293	1.04349846402854E-6	0.0249894724992966	0.0171174789929076	0.00203071310382957	0.0466341578309612	0.01575	0.0171174789929076
0.7	0.02	0.00713094079246837	0.0128690592075316	1.13177977297041E-5	0.0199886822022703	0.00333147635901328	0.00953758284851835	1.4854683465661E-6	0.0199871967339237	0.0213925880707836	0.00306890299643643	0.0475019573001282	0.018	0.0213925880707836
0.8	0.015	0.00938315908577925	0.00561684091422075	1.34894662070961E-5	0.0149865105337929	0.00418759691652931	0.00142924399769144	2.10492881097563E-6	0.0149844056049819	0.0261789595351789	0.00441345246902355	0.0486305211775109	0.01975	0.0261789595351789
0.9	0.045	0.011955706485399	0.033044293514601	1.60579520715939E-5	0.0449839420479284	0.00506860451227212	0.0279756890023288	2.96902494024834E-6	0.0449809730229882	0.0315191896294411	0.00610232943655973	0.050056580499954	0.02275	0.0315191896294411
1	0.01	0.0148496704345047	-0.00484967043450473	1.90918540857991E-5	0.0099809081459142	0.00595126934535382	-0.0108009397798585	4.16862378046114E-6	0.00997673952213374	0.0368348649427582	0.00794669032414036	0.0516259281554631	0.0253825	0.0368348649427582
1.1	0.02	0.0180649691623477	0.00193503083765232	2.26708922070566E-5	0.0199773291077929	0.00681598436019855	-0.00488095352254623	5.82604695271418E-6	0.0199715030608402	0.0440356258054093	0.010656579801362	0.0539573379372825	0.027	0.0440356258054093
1.2	0.01	0.021600364959022	-0.011600364959022	2.68875774167334E-5	0.00997311242258327	0.00764762771994791	-0.0192479926789699	8.10508701394356E-6	0.00996500733556932	0.0512998685951158	0.0135907688889063	0.0565231683097514	0.0285	0.0512998685951158
1.3	0.015	0.0254534864102709	-0.0104534864102709	3.18491093567474E-5	0.0149681508906433	0.00843592328034557	-0.0188894096906165	1.12239004407448E-5	0.0149569269902025	0.0592931528584406	0.017008150852028	0.0595887446587879	0.02975	0.0592931528584406
1.4	0.04	0.0296208593671943	0.0103791406328057	3.7679529098766E-5	0.0399623204709012	0.00917534197248206	0.00120379866032366	1.54714975350672E-5	0.0399468489733662	0.0680582540087724	0.0209432718605537	0.063314518651868	0.0325	0.0680582540087724
1.5	0.04	0.0340979463366016	0.00590205366339844	4.45221570632705E-5	0.0399554778429367	0.009864633263813	-0.00396257960041456	2.12286961969996E-5	0.0399342491467397	0.0766409491436702	0.0249575556919901	0.0677974436377332	0.0361	0.0766409491436702
1.6	0.03	0.0388791938930476	-0.00887919389304756	5.25423489742221E-5	0.0299474576510258	0.0105061024456898	-0.0193852963387373	2.89945727828406E-5	0.0299184630782429	0.0880672209059227	0.0305155695069836	0.0789699711989575	0.04	0.0880672209059227
1.7	0.035	0.0439580876343983	-0.00895808763439832	6.19306057783588E-5	0.0349380693942216	0.0111047560152325	-0.0200628436496309	3.94196286685301E-5	0.0348986497655531	0.0993871029841701	0.0362376030720344	0.0868586922499517	0.04325	0.0993871029841701
1.8	0.03	0.0493272141301128	-0.0193272141301128	7.29060766714087E-5	0.0299270939233286	0.0116674268254071	-0.0309946409555199	5.33470939500142E-5	0.0298737468293786	0.111629630532349	0.0426526164261104	0.0932857268441053	0.0465	0.111629630532349
