;Energy in m_e units;f_value
0;1.0;0.0
1;1.004987562112089;2.2924
2;1.019803902718557;1.1597
3;1.044030650891055;7.9069
4;1.077032961426901;6.1472
5;1.118033988749895;5.1556
6;1.16619037896906;4.5374
7;1.2206555615733703;4.1241
8;1.2806248474865698;3.8328
9;1.3453624047073711;3.6191
10;1.4142135623730951;3.4571
11;1.5620499351813308;3.2302
12;1.7204650534085253;3.0809
13;1.886796226411321;2.9759
14;2.0591260281974;2.8984
15;2.23606797749979;2.8387
16;2.4166091947189146;2.7912
17;2.6;2.7524
18;2.785677655436824;2.7198
19;2.973213749463701;2.6921
20;3.1622776601683795;2.668
21;3.3526109228480423;2.6467
22;3.54400902933387;2.6278
23;3.736308338453881;2.6107
24;3.9293765408777;2.5952
25;4.123105625617661;2.5809
26;4.6097722286464435;2.5497
27;5.0990195135927845;2.5232
28;5.5901699437494745;2.5
29;6.082762530298219;2.4794
30;6.576473218982953;2.4607
31;7.0710678118654755;2.4435
32;7.566372975210778;2.4276
33;8.06225774829855;2.4127
34;9.055385138137417;2.3855
35;10.04987562112089;2.361
36;11.045361017187261;2.3384
37;12.041594578792296;2.3174
38;13.038404810405298;2.2978
39;14.035668847618199;2.2792
40;16.0312195418814;2.2448
41;18.027756377319946;2.21318
42;20.024984394500787;2.1837
43;25.019992006393608;2.1175
44;30.01666203960727;2.0588
45;35.014282800023196;2.0058
46;40.01249804748511;1.9571
47;45.0111097397076;1.91216
48;50.00999900019995;1.8702
