Elevel_keV,Jπ
0,1.5
1409.84,0.5
2796.15,2.5
3170,2.5
3601.8,1.5
3751,1.5
3900,1.5
3937.1,1.5
3981.2,0.5
4193,1.5
4320,1.5
4573.4,2.5
4729,1.5
4798.8,2.5
4830,0.5
4886.5,0.5
4995,1.5
5048.4,2.5
5089.53,1.5
5130.2,2.5
5267,1.5
5408.3,1.5
5435.8,2.5
5461,0.5
5533,0.5
5669,1.5
5761,0.5
5845,0.5
6066,0.5
6102,1.5
6290,1.5
6540,0.5
6579.9,0.5
6604,0.5
6673,0.5
6752,0.5
6821.4,0.5
6852,0.5
6875,0.5
7018,0.5
7107,0.5
7263,0.5
7329,0.5
7440,0.5
7478,0.5
7612,0.5
7650,0.5
7710,1.5
7770,1.5
7804,0.5
7888,1.5
7976,0.5
8045,0.5
8247,0.5
8598,0.5
8721,0.5
8791.2,0.5
8865,0.5
9650,0.5
11500,0.5
