Elevel_(keV),Jπ_korrect
44.425,1
    86.787,1
  120.258 ,1
  203.542 ,1
  264.807  ,1
  280.302  ,1
  401.833  ,1
  447.170  ,1
  460.2    ,1
  499.580 ,1
  517.579 ,1
  553.5      ,1
  600.2     ,1
  609.970  ,1
  624.6     ,1
  628.744  ,1
  637.249  ,1
  669.115  ,1
  681.0     ,1
  686.128  ,1
  703.248  ,1
  707.94   ,1
  715.8      ,1
  727.82   ,1
  741.458  ,1
  742.9      ,1
  744.945 ,1
  751.8     ,1
  756.574  ,0
  774.408 ,1
  785.833  ,1
  793.570  ,1
  863.35  ,1
  909.125 ,1
  935.376  ,1
  939.750  ,1
  947.90   ,1
  958.393  ,1
  964.1      ,1
  970.98   ,1
  985.526,1
1013.8     ,1
1023.17   ,1
1026.2     ,1
1034.206 ,1
1064.485  ,1
1089.9      ,1
1097.30   ,1
1105.48   ,1
1124.98    ,1
1148.40    ,1
1185.75    ,1
1201.97   ,1
1230,1
1244.70  ,1
1260.10   ,1
1301.03   ,1
1309.38  ,1
1314.55   ,1
1322.21   ,1
1341.89    ,1
1352.37    ,1
1358.43    ,1
1369.3      ,1
1385.59  ,1
1397.34  ,1
1404.0     ,1
1422.32  ,1
1443.84   ,1
1450.87    ,1
1458.89    ,1
1473.65  ,1
1477.7      ,1
1494.35   ,1
1498.9    ,1
1512.18    ,1
1520.2      ,1
1524.8      ,1
1541.74    ,1
1550.45     ,1
1571.34    ,1
1584.0      ,1
1597.6      ,1
1605.17   ,1
1630.52    ,1
1638.03   ,1
1644.37    ,1
1652.67    ,1
1664.75    ,1
1673.34    ,1
1682.81   ,1
1694.6      ,1
1699.03   ,1
1704.32  ,1
1713.58   ,1
1715.6      ,1
1727.19   ,1
1748.36   ,1
1759.58   ,1
1782.53  ,1
1788.10  ,1
1794.62   ,1
1801.55  ,1
1821,1
1830,1
1849,1
1928,1
1960,1
1988,1
2004,1
2032,1
2067,1
2114,1
2136,1
2147,1
2206,1
2239,1
2272,1
2306,1
2338,1
2366,1
2392,1
2419,1
2446,1
2485,1
2505,1
