Elevel_keV,Jπ
0,1.5
1409.84,0.5
2796.15,2.5
3170,2.5
3601.8,1.5
3751,2.5
3900,2.5
3937.1,1.5
3981.2,2.5
4193,2.5
4320,2.5
4573.4,2.5
4729,2.5
4798.8,2.5
4830,2.5
4886.5,2.5
4995,2.5
5048.4,2.5
5089.53,1.5
5130.2,2.5
5267,2.5
5408.3,2.5
5435.8,2.5
5461,2.5
5533,2.5
5669,2.5
5761,2.5
5845,2.5
6066,2.5
6102,2.5
6290,2.5
6540,2.5
6579.9,2.5
6604,2.5
6673,1.5
6752,2.5
6821.4,2.5
6852,2.5
6875,2.5
7018,2.5
7107,2.5
7263,2.5
7329,2.5
7440,2.5
7478,2.5
7612,2.5
7650,2.5
7710,1.5
7770,1.5
7804,2.5
7888,1.5
7976,2.5
8045,2.5
8247,2.5
8598,2.5
8721,2.5
8791.2,0.5
8865,2.5
9650,2.5
11500,2.5
