E_meV,F_value
0.0,0.0
0.01,0.0
0.02,0.0
0.03,0.0
0.04,0.0
0.05,0.0
0.06,0.0
0.07,0.0
0.08,0.0
0.09,0.0
0.1,0.0
0.11,0.0
0.12,0.0
0.13,0.0
0.14,0.0
0.15,0.0
0.16,0.0
0.17,0.0
0.18,0.0
0.19,0.0
0.2,0.0
0.21,0.0
0.22,0.0
0.23,0.0
0.24,0.0
0.25,0.0
0.26,0.0
0.27,0.0
0.28,0.0
0.29,0.0
0.3,0.0
0.31,3.04
0.32,3.021
0.33,3.004
0.34,2.987
0.35,2.971
0.36,2.956
0.37,2.942
0.38,2.929
0.39,2.916
0.4,2.903
0.41,2.892
0.42,2.881
0.43,2.87
0.44,2.859
0.45,2.848
0.46,2.839
0.47,2.83
0.48,2.821
0.49,2.812
0.5,2.803
0.51,2.7954
0.52,2.7878
0.53,2.7802
0.54,2.7726
0.55,2.765
0.56,2.7584
0.57,2.7518
0.58,2.7452
0.59,2.7386
0.6,2.732
0.61,2.7264
0.62,2.7208
0.63,2.7152
0.64,2.7096
0.65,2.704
0.66,2.699
0.67,2.694
0.68,2.689
0.69,2.684
0.7,2.679
0.71,2.6746
0.72,2.6702
0.73,2.6658
0.74,2.6614
0.75,2.657
0.76,2.653
0.77,2.649
0.78,2.645
0.79,2.641
0.8,2.637
0.81,2.6334
0.82,2.6298
0.83,2.6262
0.84,2.6226
0.85,2.619
0.86,2.6158
0.87,2.6126
0.88,2.6094
0.89,2.6062
0.9,2.603
0.91,2.6
0.92,2.597
0.93,2.594
0.94,2.591
0.95,2.588
0.96,2.5852
0.97,2.5824
0.98,2.5796
0.99,2.5768
1.0,2.574
1.01,2.5714
1.02,2.5688
1.03,2.5662
1.04,2.5636
1.05,2.561
1.06,2.5584
1.07,2.5558
1.08,2.5532
1.09,2.5506
1.1,2.548
1.11,2.5458
1.12,2.5436
1.13,2.5414
1.14,2.5392
1.15,2.537
1.16,2.5348
1.17,2.5326
1.18,2.5304
1.19,2.5282
1.2,2.526
1.21,2.5241
1.22,2.5222
1.23,2.5203
1.24,2.5184
1.25,2.5165
1.26,2.5146
1.27,2.5127
1.28,2.5108
1.29,2.5089
1.3,2.507
1.31,2.5052
1.32,2.5034
1.33,2.5016
1.34,2.4998
1.35,2.498
1.36,2.4962
1.37,2.4944
1.38,2.4926
1.39,2.4908
1.4,2.489
1.41,2.4874
1.42,2.4858
1.43,2.4842
1.44,2.4826
1.45,2.481
1.46,2.4794
1.47,2.4778
1.48,2.4762
1.49,2.4746
1.5,2.473
1.51,2.4715
1.52,2.47
1.53,2.4685
1.54,2.467
1.55,2.4655
1.56,2.464
1.57,2.4625
1.58,2.461
1.59,2.4595
1.6,2.458
